ID,Parking,Phone,Description,Renovation_type,Balcony,Windows,WC,Chld_pets_allowed,Lift,Refuse_chute,City,Price_per_month,Res_complex_name,Total_sqr_mtr,Rooms_qty,Room_type,Station,Line,AdmArea,District,Floor,N_of_floor,Bld_type,Furniture_rooms,Furniture_kitchen,Street,Bld.,Time_to_subway,Accessibility,price_per_m,Ceiling_height
274343245,0,1,1,4,1,1,1,2,1,0,1,10.714439990727769,170,4.219507705176107,3,1,41,32,6,4,1,9,6,1,1,419,242,15,2,6.511212930954276,2.64
271308577,0,1,1,2,0,0,1,0,1,0,1,10.736418414365374,170,3.5263605246161616,1,0,57,40,6,45,3,9,6,0,1,419,501,5,2,7.24060624810696,2.64
274868234,0,1,1,4,1,0,1,2,1,0,1,10.819798284210286,170,3.8918202981106265,3,1,57,40,6,45,3,9,6,1,1,419,689,13,2,6.949536812997092,2.64
274803288,0,1,1,4,1,1,1,1,1,2,1,10.915106645867503,170,4.290459441148391,3,2,57,40,6,45,8,14,0,1,1,419,96,1,2,6.639730579995211,2.64
271719234,3,1,1,4,1,1,1,1,1,0,1,10.968215530759236,170,4.1728476237100445,2,1,41,32,6,4,17,17,6,1,1,419,431,7,2,6.8119800458303486,2.75
236997556,0,1,1,3,1,1,1,1,1,0,1,11.002116507732017,170,4.330733340286331,3,1,202,32,6,4,14,17,6,1,1,1259,856,3,1,6.68586094706836,2.64
268706418,3,1,1,2,1,1,1,1,1,0,1,11.082157933374816,170,4.343805421853684,3,1,22,40,6,45,4,17,0,1,1,500,1372,10,2,6.75257775634273,2.64
274773392,3,1,1,3,1,1,1,2,1,0,1,11.156264806643742,170,4.110873864173311,3,1,57,40,6,45,4,9,6,1,1,419,1639,7,2,7.062762734529377,2.64
274871037,0,1,1,4,1,1,0,1,1,0,1,10.463131911491967,170,3.6584202466292277,1,0,57,40,6,45,8,17,6,1,1,500,1326,8,2,6.831873655065573,2.64
274759593,0,1,1,4,0,1,0,2,1,0,1,10.463131911491967,170,3.6109179126442243,1,0,22,40,6,45,7,14,0,1,1,1259,177,4,2,6.88061244482687,2.64
274912354,0,1,1,4,1,0,0,0,1,0,1,10.645448706505872,170,3.7612001156935624,2,2,57,40,6,45,5,9,6,1,1,419,497,10,2,6.90875477931522,2.64
274904453,0,1,1,3,1,0,1,1,1,0,1,10.819798284210286,415,3.8918202981106265,1,0,110,34,6,61,18,30,5,1,1,419,1244,11,2,6.949536812997092,2.64
274714894,5,1,1,2,1,1,1,1,1,1,1,11.156264806643742,170,4.61512051684126,3,1,110,34,6,61,3,32,5,1,1,419,1242,12,2,6.55250788703459,2.64
273780996,5,1,1,1,1,1,1,1,0,1,1,11.849404844423074,170,4.2626798770413155,3,0,2,24,11,0,11,22,5,1,0,1393,1004,9,2,7.601402334583733,2.64
274877074,3,1,1,3,0,1,1,0,1,0,1,10.596659732783579,170,3.784189633918261,1,0,2,24,11,0,2,10,6,1,1,1694,178,14,2,6.836509040003777,2.64
274427847,3,1,1,4,1,1,1,1,1,0,1,11.350418300109132,170,4.51085950651685,3,0,2,24,11,0,7,9,3,1,1,1434,206,4,2,6.851655128513338,2.64
273590073,0,1,1,2,1,1,1,1,1,1,1,11.849404844423074,170,4.2626798770413155,3,1,2,24,11,0,11,25,5,1,1,1393,1004,10,2,7.601402334583733,2.64
